DATE,OPEN,HIGH,LOW,CLOSE,VOL,P,R,RINFO
20180127,14.34,14.63,13.97,14.27,653831000,0,0,0
20180128,14.34,15.04,14.34,15.02,646950000,0,0,0
20180129,15.03,15.17,13.80,14.01,565307000,0,0,0
20180130,14.03,14.03,11.30,11.56,980342000,0,0,0
20180131,11.46,12.33,10.42,12.20,1008810000,0,0,0
20180201,12.24,12.40,9.90,10.21,919859000,0,0,0
20180202,10.17,10.22,7.64,9.79,1534140000,0,0,0
20180203,9.77,10.39,8.59,9.84,736278000,0,0,0
20180204,9.77,10.17,8.45,8.61,588172000,0,0,0
20180205,8.68,8.85,6.94,7.06,640159000,0,0,0
20180206,7.17,8.46,5.85,8.34,1304850000,0,0,0
20180207,8.35,8.65,7.56,7.61,762884000,0,0,0
